"Rank","Last.year","Up.or.down","Name","Position","Club.on.1.Dec.2021","League","Age.on.1.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile"
87,NA,"New entry","Catarina Macario","Forward","Lyon","D1 Arkema",22,"USA","https://media.guim.co.uk/c90bd69953ee4f6a4d1d0e4e5ca60eaf85b921cf/1984_212_1184_1185/500.jpg","https://media.guim.co.uk/8d234c6bc71fb8f0e0649be2f8f2ce243d30ccc2/0_121_3444_2066/500.jpg","How one of the USA’s brightest prospects got on at one of Europe’s top sides was always going to be an intriguing 2021 storyline, and Macario did not disappoint. Five goals in seven for Lyon last season has been followed up by seven already this season where she sits as the second top scorer in the league, adding to her three in the Champions League. Macario also got off the mark for her national team in a year that couldn’t have gone much better for the 22-year-old who took full advantage of key Lyon attackers being out through injury or departing for new adventures."
88,NA,"New entry","Lina Hurtig","Forward","Juventus","Serie A TIMvision",26,"Sweden","https://media.guim.co.uk/a3da0100b9edaedb130c7a078488716ff74ece3a/1158_132_1932_1932/500.jpg","https://media.guim.co.uk/f7c445e8284e77af0c93a8df323c776209b60dca/0_52_2063_1238/500.jpg","After joining Juventus at the back end of 2020 off a successful Damallsvenskan season, Hurtig wasted no time in settling into her new environment, scoring six goals in her debut Serie A campaign for the Old Lady. Hurtig also hit seven for Sweden, the imposing centre-forward enjoying a good year during which her most memorable contributions came in Tokyo, scoring first in a dominant 3-0 win over the USA before finding the net again against Australia. A first appearance in the 100 and probably not the last."
89,NA,"New entry","Paulina Dudek","Defender","PSG","D1 Arkema",24,"Poland","https://media.guim.co.uk/85ccb17289f69d7d5023bdfe8691fcdfd65a7d39/2000_471_1800_1801/500.jpg","https://media.guim.co.uk/9161d9a97e2ef3e3afb5d31f4fef7ecf4122c0b7/296_501_3479_2088/500.jpg","Dudek has so often come so close to making the 100 and this year finally, and deservedly, breaks into the rankings. The Poland international perhaps goes unnoticed compared to some of the bigger names in the PSG defence, but to play such a key role in their title success proves what a top-class defender Dudek has become. Her stats this year set her apart from most defenders and it most certainly won’t be the last time she makes the 100, her composure on the ball and no-nonsense defending making her a classic modern defender."
90,"43","-47","Rachel Daly","Forward","Houston Dash","NWSL",29,"England","https://media.guim.co.uk/63b6687f9a8f75f8cd01284489fcb3a8333d7eaf/624_272_1794_1792/500.jpg","https://media.guim.co.uk/b71ed7117ad154ef3abc4426d8788d2a751f6dc6/194_570_2234_1341/500.jpg","Daly reigned supreme in the NWSL this year, ending the season as second-joint top scorer in the league in what was ultimately a disappointing campaign for Houston Dash who missed out on the end-of-season play-offs. Daly’s all-action style was once again prevalent, showing a do-or-die attitude for her team and, with Lucy Bronze injured, Daly continued to hold down her familiar right-back role for England."
91,"80","-11","Sydney Lohmann","Midfielder","Bayern Munich","FLYERALARM Frauen-Bundesliga",21,"Germany","https://media.guim.co.uk/4e9f08728a8bca8acf15aadb491cb9b11bae3cd1/989_225_1826_1826/500.jpg","https://media.guim.co.uk/75e61b38d1d0dfb6c76a113e5feccae357e96dc3/0_186_3471_2082/500.jpg","Lohmann is one of many players who would have probably claimed a higher ranking had it not been for injuries. One of the breakout stars of 2020, Lohmann took that form into 2021 and played a commanding midfield role in what turned out to be an ultimately successful year for Bayern Munich. Now a key member of the Germany team, Lohmann had to have hip surgery a few months ago but should still return at the top of her game."
92,NA,"New entry","Midge Purce","Forward","NJ/NY Gotham","NWSL",26,"USA","https://media.guim.co.uk/102f0c7dd2d662254711f092fdde3842ad399304/1774_140_1271_1271/500.jpg","https://media.guim.co.uk/2e4c3ece0a290bd07998d7617a7018a875027e56/78_164_1524_914/500.jpg","Another player who enjoyed a breakout campaign in the NWSL this year. Purce was inspired throughout 2021, ending the regular season as the joint-second top scorer in the league with nine goals and playing a huge part in helping NJ/NY Gotham into the end of season play-offs with her direct play and eye for goal. Purce was a nightmare to play against for any NWSL side and earned a place in the NWSL best XI as a reward for her fine form."
93,"9","-84","Julie Ertz","Midfielder","Chicago Red Stars","NWSL",29,"USA","https://media.guim.co.uk/ebe81b054a0a55dab9b32d26114d4908db8eebef/573_110_833_832/500.jpg","https://media.guim.co.uk/5ac770505557625f61664bae0734f0614bc5695c/0_0_3871_2322/500.jpg","Ertz suffers a significant drop in the rankings but, given the injury problems she has faced this year, it says a lot about how she is viewed around the world that she makes the 100 again. While her club season was almost nonexistent, Ertz did remain a regular for the USA all the way up to and including the Olympics, where her presence was missed in the opening 45 minutes of their first game, against Sweden. The US became a more solid prospect after her return and the all-energy midfielder helped her side to bronze but sadly she has not played since."
94,NA,"New entry","Vanessa Gilles","Defender","Bordeaux","D1 Arkema",25,"Canada","https://media.guim.co.uk/b15f371ee90e78813c8aefa6fbff0b460f3be1b3/1057_54_1103_1103/500.jpg","https://media.guim.co.uk/44f402c1d7aa5eb338351a07c274fd8f6eb8baff/0_282_5472_3283/500.jpg","Gilles makes our list for the first time and is probably one of 2021's most understated and underrated performers. While all eyes focused on some of Canada’s bigger names when they won gold in Tokyo, the solid centre-back was one of their standout performers throughout the tournament, forging a brilliant partnership with Kadeisha Buchanan. It would have been cruel had her penalty miss in the final shootout been costly because few deserved a gold medal more and Gilles will no doubt continue to gain more recognition in future years."
95,NA,"New entry","Trinity Rodman","Forward","Washington Spirit","NWSL",19,"USA","https://media.guim.co.uk/6dca30d3302ed15942fa8cf30d57ba126953867c/365_116_1215_1215/500.jpg","https://media.guim.co.uk/2daf3e8626113c55181c767051e3ca08ed1b37b0/0_239_3765_2260/500.jpg","Arguably the breakout star of 2021 having come straight out of the NWSL draft and, while still a teenager, imposing herself on the league, ending the season with six goals, five assists and an NWSL trophy as Washington Spirit won the championship for the first time. Rodman, daughter of the former NBA player Dennis, scored in the semi-final and played a vital part in the final and it looks as though the sky is the limit for a highly promising young player."
96,NA,"New entry","Kheira Hamraoui","Midfielder","PSG","D1 Arkema",31,"France","https://media.guim.co.uk/a1f35e7b84e307119085e16364cdf1b2850918c1/788_23_785_785/500.jpg","https://media.guim.co.uk/2c2ef9ccdd721eb427e787dad000173a429d7a1d/0_51_1958_1175/500.jpg","The experienced French midfielder wasn’t always a regular starter for Barcelona, but she played an important part in the team’s success in 2021. Hamraoui was called upon to start the Champions League final against Chelsea and put in a solid performance, one of her last contributions before returning to France with PSG where she became a regular starter and key performer for the French champions. Her importance to two of 2021's most successful sides tells its own story, though her year ended on a traumatic note when she was violently assaulted by two masked assailants in November."
97,NA,"Re-entry","Mal Pugh","Forward","Chicago Red Stars","NWSL",23,"USA","https://media.guim.co.uk/f0141190ea902961b0f4ea4207ed348efc6ebaab/1822_134_2358_2358/500.jpg","https://media.guim.co.uk/c2663450ea2685a003f2cb7272cabde73c6c57bd/728_216_2434_1460/500.jpg","Pugh returns to the 100 after a year in which she helped the Red Stars reach the NWSL final, with four assists setting her apart as one of the league’s most creative players. With pace to burn, Pugh is continuing to add end product to her game, her goal in the first play-off round against Gotham was pivotal and her place in the second best XI in the NWSL awards illustrated her contribution on the field in Chicago throughout 2021."
98,NA,"Re-entry","Nikita Parris","Forward","Arsenal","Barclays FA Women's Super League",27,"England","https://media.guim.co.uk/4734d1641b692a1efbe0c2b5afd7636fe8f7a713/882_99_1021_1021/500.jpg","https://media.guim.co.uk/f827ed1ad303badca42dfd357b3079e13e5f5558/0_212_4166_2501/500.jpg","Parris returned to England this year after a good run of form with Lyon where she ended last season as the joint-third top scorer in D1 Arkema, her form at the back end of 2020 a particular highlight, including four goals in one game in December. Parris ended the season with 13 goals before joining Arsenal where she got off to a good start with two goals in Champions League qualifying. It has not happened in front of goal for the hard-working Parris more recently but she is quickly becoming an important part of Jonas Eidevall’s plans."
99,"66","-33","Millie Bright","Defender","Chelsea","Barclays FA Women's Super League",28,"England","https://media.guim.co.uk/2b2116cd734ca1cb4fd677dcea57adc5414e0d4d/635_160_1223_1223/500.jpg","https://media.guim.co.uk/e43bcf5e16819c01c185cde2ae912cdc80b0676c/856_182_1767_1060/500.jpg","Bright remained what she has always been for Chelsea and England this year – a really consistent and solid performer in a Blues side that again enjoyed domestic success. Strong and imposing, Bright offers a tough presence at the back for club and country and was given the honour of captaining England for the first time in November, showing at 28 she is also now ready to take on a leadership role at the top level."
100,"82","-18","Chloe Kelly","Forward","Manchester City","Barclays FA Women's Super League",23,"England","https://media.guim.co.uk/919e8fcef8faed704ac6dc0591885e1d0a4955e6/1147_367_3285_3285/500.jpg","https://media.guim.co.uk/50ee5c32672739d9b5c42b5bf046739009765cb3/0_166_4593_2756/500.jpg","Kelly’s year was ended prematurely and cruelly after an innocuous collision in a league game for Manchester City left her with an ACL injury that ruled her out of the Team GB squad for the Olympics. Kelly had stepped up to City's level better than anyone could have imagined, scoring 10 goals and registering 11 assists in the Women's Super League before her injury. Her pace, skill and end product set her apart – that she still squeezes into the list despite not having played since May is testament to that."
