"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2016","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2016","sheets.Sheet1.Nationality","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.To.be.subbed.by","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"49","82","33","Mauro Icardi","Forward","Internazionale","Italy","23","Argentina","Argentinian, Serie A, Forwards","","","https://media.guim.co.uk/a0f197122fbecec38ca2d417a2f65cbf854ad4f1/1749_106_744_744","cropRatio=744,744&size=140,500,744","https://media.guim.co.uk/61b4ea4b19037f67ccfe764333419665280aab53/5_169_2021_1136","cropRatio=2021,1136&size=140,500,1000,2000,2021","","There really is never a dull moment with Icardi, who signed a new contract with Internzionale in October before enraging his team's Ultras with a spectacularly ill-conceived autobiography that hit the shelves a week later. So furious was the reaction against one particular passage – in which he reminisced proudly about <a href=""https://www.theguardian.com/football/blog/2016/oct/17/mauro-icardi-v-inters-ultras-an-unhappy-chapter-in-his-ongoing-san-siro-saga"" >threatening to hire criminals from Argentina to kill fans who abused him</a> – that he was eventually obliged to get the book republished with the offending passage removed. Yet he retained the captaincy and continues to score goals with rare frequency. He is contributing more to buildup play nowadays, too.","Paolo Bandini","100","√MC","NAm","NAm","TD"
"50","33","-17","Karim Benzema","Forward","Real Madrid","Spain","29","France","French, La Liga, Forwards","","","https://media.guim.co.uk/da4f20dc36e9377616438ff58f24f06e06ab8dc2/1155_285_1739_1740","cropRatio=1739,1740&size=500,1000,1739","https://media.guim.co.uk/70baa19dde121b2a8f8f90cec5993f1668f3cac5/102_523_4394_2470","cropRatio=4394,2470&size=140,500,1000,2000,4394","","The striker’s <a href=""https://www.theguardian.com/football/2016/apr/13/karim-benzema-france-euro-2016-not-selected-sex-tape"" >omission from the France Euro 2016 squad</a> became a political debate featuring some mean posturing. But one thing everyone agrees on when it comes to Benzema is that he can be a fine player. And he has thrived under the managership of Zinedine Zidane, whom he refers to as “like a big brother”. His conniving with Cristiano Ronaldo and Gareth Bale was among Real Madrid’s key arms in their Champions League triumph, and in December he became only the sixth player to reach the landmark of 50 goals in that competition.","Paul Doyle","100","√SM","RC","RC","NAm"
"51","75","24","Mats Hummels","Defender","Bayern Munich","Germany","28","Germany","German, Bundesliga, Defenders","","","https://media.guim.co.uk/b958243b3f022b795974e29bb20a100b7949438a/1188_226_993_993","cropRatio=993,993&size=140,500,993","https://media.guim.co.uk/d630962a8abd9c604ab5dac0467d79781eeb1294/0_0_2160_1215","cropRatio=2160,1215&size=140,500,1000,2000,2160","","Hummels will never outrun a cheetah (or most centre-forwards) but his sub-zero coolness under pressure, intelligent positional play and superlative passing game certainly mark him out as one of the world’s best centre-backs. The 28-year-old captained a fine Dortmund team who finished runners-up in both domestic competitions, caught the eye in Joachim Löw’s Germany team at Euro 2016 and instantly slotted into the Bayern team of Carlo Ancelotti upon <a href=""https://www.theguardian.com/football/2016/may/10/bayern-munich-sign-benfica-renato-sanches-manchester-united"" >his return to his hometown club</a> after eight years with BVB. A steep rise up the rankings (from 75th to 51st) reflects the growing international recognition of his craft.","Raphael Honigstein","100","√SM","RC","RC","NAm"
"52","41","-11","Thiago Silva","Defender","PSG","France","32","Brazil","Brazilian, Other leagues, Defenders","","","https://media.guim.co.uk/05dcc13556eaf63659ce08e93a2f9132a33022c3/651_378_1268_1268","cropRatio=1268,1268&size=140,500,1000,1268","https://media.guim.co.uk/fc6491559f149c5f8d079c74dbaa9995045b8c3a/0_102_4177_2348","cropRatio=4177,2348&size=140,500,1000,2000,4177","","In September he was recalled to the Brazil squad for the first time in 12 months in recognition of the fact that had fully recovered from injury niggles and regained his best form. That form makes him one of the world's best centre-backs or, as Paolo Maldini once suggested, “the only defender who can change the outcome of a game”. He led PSG to a domestic treble in France and was not to blame for <a href=""https://www.theguardian.com/football/2016/apr/12/manchester-city-paris-saint-germain-champions-league-match-report"" >elimination from the Champions League</a> by Manchester City.","Paul Doyle","100","√SM","NAm","NAm",""
"53","","New","Casemiro","Midfielder","Real Madrid","Spain","24","Brazil","Brazilian, La Liga, Midfielders","","","https://media.guim.co.uk/56fb269f3b9fb499a89562a9409e188784021139/1132_238_1208_1209","cropRatio=1208,1209&size=500,1000,1208","https://media.guim.co.uk/382426e99d2a1b396d3fc1065c07d976e40948f0/0_162_2513_1427","cropRatio=2513,1427&size=140,500,1000,2000,2513","","“I feel respected as a player now,” <a href=""https://www.theguardian.com/football/2016/apr/26/casemiro-real-madrid-manchester-city-champions-league"" >Casemiro said in April</a>, and these days it would take a curious argument to disparage him. His appearance just outside the top 50 in this list, from nowhere, speaks of the impact he has had since becoming a fixture in the Real Madrid side in the latter days of Rafael Benítez and then, crucially, under Zinedine Zidane. Casemiro is the water-carrier, the positional conscience, behind a Real side laden with attacking talent and he gives them crucial balance they had missed in the past. He recycles the ball adroitly and a tactical foul is rarely beyond him when Real are out of possession; Zidane terms the 24-year-old “fundamental” to his European champions and few would now disagree.","Nick Ames","100","√MC","RC","RC","NAm"
"54","","New","Renato Sanches","Midfielder","Bayern Munich","Germany","19","Portugal","Other nationalities, Bundesliga, Midfielders","","","https://media.guim.co.uk/6ff40284d7ed18e3ec463a65c65ff165a9b18470/1018_83_723_723","cropRatio=723,723&size=140,500,723","https://media.guim.co.uk/6ba834c195c770c4b91c549f8b97d6e98d8286f3/2_236_2505_1409","cropRatio=2505,1409&size=140,500,1000,2000,2505","","What a stunning impact it was at Euro 2016 from Sanches, whose contributions for Portugal included a searing equaliser <a href=""https://www.theguardian.com/football/2016/jun/30/poland-portugal-euro-2016-quarter-final-match-report"" >in the quarter-final against Poland</a> – making him the youngest player to score in a European Championship knockout stage – and a shootout penalty in the same game. Sanches added skill and a crucial change of gear to a midfield short on stardust; he ended up a champion and it is unlikely to be his last major honour. He joined Bayern Munich in a £29m deal from Benfica a month before the tournament, with Manchester United among other interested parties. Opportunities this season have not come freely but, at 19 and with a formidable set of physical and technical gifts, time is on his side.","Nick Ames","100","√MC","RC","RC","NAm"
"55","67","12","Keylor Navas","Goalkeeper","Real Madrid","Spain","30","Costa Rica","Other nationalities, La Liga, Goalkeepers","","","https://media.guim.co.uk/2acdded66a9d52ee49d33ab79a57bf2af862b51e/439_48_834_833","cropRatio=834,833&size=140,500,834","https://media.guim.co.uk/5067cd3d9cb76a95b75374f6c1da45012082ce68/0_28_4076_2292","cropRatio=4076,2292&size=140,500,1000,2000,4076","","It was a kick in the teeth for Real Madrid when, in September 2015, their move for David de Gea fell through. They could not prise him from Manchester United last summer either but the form of Navas, who had been mooted to move in the opposite direction, has made it seem rather less consequential. He has not been quite as sharp at times this season – perhaps owing to ankle surgery that ruled him out of the early weeks – and has competition from the improved Kiko Casilla, but at his best Navas is <a href=""https://www.theguardian.com/football/blog/2015/oct/26/keylor-navas-real-madrid-manchester-united-la-liga"" >the most alert of shot-stoppers</a>, with excellent footwork and a strong command of his posts. Having won the Champions League, he now looks on course for a first La Liga title.","Nick Ames","100","√MC","RC","RC","NAm"
"56","21","-35","Philipp Lahm","Defender","Bayern Munich","Germany","34","Germany","German, Bundesliga, Defenders","","","https://media.guim.co.uk/8e964027f322024aafad6ccc8b01506339ade1a9/2315_128_768_768","cropRatio=768,768&size=140,500,768","https://media.guim.co.uk/a34cde8329517bd7a6196dd600f35f0516d41172/12_186_5615_3157","cropRatio=5615,3157&size=140,500,1000,2000,5615","","A big faller in this year's top 100, he can count himself unlucky. Having already <a href=""https://www.theguardian.com/football/2014/jul/18/philipp-lahm-retires-germany-world-cup-captain"" >retired from international football</a> after leading Germany to the 2014 World Cup, Lahm's plan to hang up his boots for good at the end of next season are still in place despite yet another Bundesliga title to add to his collection. Carlo Ancelotti's arrival has seen him switch back to the right-back position he excelled in for so many years, having mainly played in midfield and even on the wing under Pep Guardiola. The Manchester City manager has described Lahm as the most intelligent player he has ever worked with and there is no doubt Bayern will miss him when he is gone.","Ed Aarons","100","√SM","NAm","NAm","TD"
"57","77","20","Henrikh Mkhitaryan","Midfielder","Manchester United","England","27","Armenia","Other nationalities, Premier League, Midfielders","","","https://media.guim.co.uk/af0de22675fe24a4b4dc3e25b59ecaae998026a7/1140_67_576_576","cropRatio=576,576&size=140,500,576","https://media.guim.co.uk/9328cd9e721f10ff5efcdd6c40d1d42d75c48aff/0_0_3810_2142","cropRatio=3810,2142&size=140,500,1000,2000,3810","","José Mourinho has received plenty of criticism for his apparent coldness towards Mkhitaryan, although the Armenian midfielder recently took the blame for his slow start at Manchester United. “The problem wasn’t him, it was me,” Mkhitaryan said. Even so, it was not easy to understand his absence from a side crying out for more creativity. Quick, elusive and intelligent, Mkhitaryan was superb in the Bundesliga for Borussia Dortmund last season, which is why he has shot up by 20 places, and <a href=""https://www.theguardian.com/football/blog/2016/dec/04/henrikh-mkhitaryan-manchester-united-first-team-player"" >he has teased United with glimpses of class</a> in the past month. They will be aching for more in 2017.","Jacob Steinberg","100","√SM","RC","RC","NAm"
"58","","New","Toby Alderweireld","Defender","Tottenham Hotspur","England","27","Belgium","Other nationalities, Premier League, Defenders","","","https://media.guim.co.uk/5fcb60223b2b34012aee837166a427604e949497/792_289_545_544","cropRatio=545,544&size=140,500,545","https://media.guim.co.uk/17ab6db2b6f7cf1716ca150a4e7446a680ba5cd5/61_48_2331_1311","cropRatio=2331,1311&size=140,500,1000,2000,2331","","When the Belgium centre-half <a href=""https://www.theguardian.com/football/2015/jul/08/toby-alderweireld-tottenham-atletico-madrid-southampton"" >joined Tottenham Hotspur</a> in the summer of 2015, he found a defence that was prone to individual and collective lapses. By the end of last season, they had conceded the joint-fewest goals in the Premier League. Alderweireld was the only new addition to the defensive unit. The heir apparent to Vincent Kompany at international level, Alderweireld brings assurance on the ball and the ability to read and win the one-on-one duels. He is also a threat from set pieces. For a long time, he had drifted under the radar in terms of recognition. He is no longer the unsung hero.
","David Hytner","100","√SM","NAm","NAm","TD"
"59","","New","Kévin Gameiro","Forward","Atlético Madrid","Spain","29","France","French, La Liga, Forwards","","","https://media.guim.co.uk/960d4b481996b2e2925b6970a5967b3b1a1d4f68/1404_301_614_615","cropRatio=614,615&size=500,614","https://media.guim.co.uk/f7bcd72d41534e0b3a1f10737fce36fc599ae1ec/530_193_3530_1984","cropRatio=3530,1984&size=140,500,1000,2000,3530","","France were not what they should have been at Euro 2016 and one of the reasons for that was flawed management by Didier Deschamps, whose most spectacular bungle was omitting Gameiro from the squad, especially with Karim Benzema exiled. Gameiro proved that when he was belatedly called up for the World Cup qualifiers, instantly forming a deadly understanding with Antoine Griezmann. That came as no surprise to anyone who had watched this clever poacher <a href=""https://www.theguardian.com/football/2016/may/18/liverpool-sevilla-europa-league-final-match-report"" >fire Sevilla to another Europa League conquest</a> and earn a move to Atlético Madrid.","Paul Doyle","100","√SM","RC","RC","NAm"
"60","","New","Joshua Kimmich","Defender","Bayern Munich","Germany","21","Germany","German, Bundesliga, Defenders","","","https://media.guim.co.uk/e4267d0483cb82f105fc8f232ae519d3afa1416f/793_221_1955_1954","cropRatio=1955,1954&size=140,500,1000,1955","https://media.guim.co.uk/10e014f11b81eba57af71a434ab0284aac4bf998/11_97_5753_3234","cropRatio=5753,3234&size=140,500,1000,2000,5753","","Such a versatile player, it is no surprise that he has been dubbed the new Philipp Lahm. Forced his way into the Bayern starting XI under Pep Guardiola and can play at full-back, in central defence or in midfield. Towards the end of the year he was starting to score goals as well for club and country – and he is only 21. Kimmich <a href=""https://www.theguardian.com/football/englische-woche/2016/nov/08/joshua-kimmich-pep-guardiola-germany-bayern-munich"" >learned so much from Guardiola</a> – and the respect was mutual. “I’ve told him that he’s perhaps one of the best centre-backs in the world,” Guardiola said. “He’s got the desire, the will, the passion. He’s got absolutely everything.”","Marcus Christenson","100","√SM","NAm","NAm","TD"
"61","23","-38","David Alaba","Defender","Bayern Munich","Germany","24","Austria","Other nationalities, Bundesliga, Defenders","","","https://media.guim.co.uk/81d0c8be7f321709d3f819208188140f1189e45c/884_27_1125_1124","cropRatio=1125,1124&size=140,500,1000,1125","https://media.guim.co.uk/b1f01387dee40bef5f0f437ea3a99d7f2309d4ca/0_0_4162_2346","cropRatio=4162,2346&size=140,500,1000,2000,4162","","The year started with David Alaba moonlighting as a very capable centre-back for Bayern Munich under the auspices of chief player-reinventor Pep Guardiola. The 24-year-old did well enough to help the Bavarian club reach their fourth league title in a row but a disastrous Euro 2016 proved the first real setback of his career. Alaba, the outstanding player of his generation in Austria, failed to inspire his team in a central midfield role. Austria crashed out in the group stage after two defeats and <a href=""https://www.theguardian.com/football/2016/jun/18/portugal-austria-euro-2016-match-report"" >a 0-0 draw against Portugal</a>, the eventual championship winners. The new season has brought a <a href=""https://www.theguardian.com/football/2016/mar/16/david-alaba-bayern-munich-champions-league-juventus"" >return to form in his customary full-back position</a> at club level but the poor showings in France have seen his stock decline.","Raphael Honigstein","100","√SM","RC","RC","TD"
"62","25","-37","Javier Mascherano","Defender","Barcelona","Spain","32","Argentina","Argentinian, La Liga, Defenders","","","https://media.guim.co.uk/be65eee043256df04d21f6eb782f3dfa49a0d445/802_117_1440_1439","cropRatio=1440,1439&size=140,500,1000,1440","https://media.guim.co.uk/bc2d4c80f30c08d13f9f94499cc7c27c068715ce/52_89_2576_1448","cropRatio=2576,1448&size=140,500,1000,2000,2576","","Are we starting to see the first signs of decline in one of the most tenacious players of the modern era? The 32-year-old has tumbled 37 places in the rankings and has not looked entirely comfortable in defence this season. Perhaps that was why he was itching for a return to central midfield in the summer. Mascherano has <a href=""https://www.theguardian.com/football/2016/feb/19/javier-mascherano-barcelona-nicklas-bendtner-changed-career"" >rarely let anyone down as a centre-back</a>, but he has come in for criticism recently. However, he feels that he has been unfairly singled out by people seeking scapegoats for Barcelona’s faltering defence of their title.","Jacob Steinberg","100","√SM","NAm","NAm","TD"
"63","32","-31","Douglas Costa","Forward","Bayern Munich","Germany","26","Brazil","Brazilian, Bundesliga, Forwards","","","https://media.guim.co.uk/0a487f56d2e80d35686e19169cebc087fc2e50cd/1378_227_970_970","cropRatio=970,970&size=140,500,970","https://media.guim.co.uk/e1b3950c8e4692b7acaf6dd4cede20262bfb2596/0_48_4885_2746","cropRatio=4885,2746&size=140,500,1000,2000,4885","","A significant fall this year for Costa, an outstanding talent whose form has been more mercurial than consistent in 2016. He was unable to have a significant influence at the back end of last season in Bayern’s <a href=""https://www.theguardian.com/football/2016/may/03/bayern-munich-atletico-madrid-champions-league-match-report"" >Champions League exit to Atlético Madrid</a> and contributions have been fitful since the summer, too – although there have been signs of a return to his best in recent weeks as Bayern themselves have gathered speed under Carlo Ancelotti. Costa has generally operated on the left of the attack but is comfortable on the other flank, too; a run of brilliance could make the difference on all fronts for Bayern in the coming months.","Nick Ames","100","√MC","RC","RC","NAm"
"64","","New","Gabriel Jesus","Forward","Palmeiras","Brazil","19","Brazil","Brazilian, Other leagues, Forwards","","","https://media.guim.co.uk/a06699f657a8411daff94b85e23ef963ab318d44/820_290_776_776","cropRatio=776,776&size=140,500,776","https://media.guim.co.uk/048fe292f0905e15ac972baed58a662f42daa3c0/0_34_3062_1721","cropRatio=3062,1721&size=140,500,1000,2000,3062","","You would back Gabriel Jesus to make quite an entrance when <a href=""https://www.theguardian.com/football/2016/sep/21/gabriel-jesus-manchester-city-palmeiras-brazil-interview"" >his move to Manchester City</a> goes through, at last, next month. His early impact for the Brazilian senior team, for whom he has scored four times since making his debut in September, showed he is in little mood to wait around and he had already scored three times for their Under-23s at the Olympics. Jesus won Brazil’s Golden Ball award for 2016 after scoring 12 goals to help Palmeiras win the title; he has a remarkable finishing range, as a deft chip for Brazil against Venezuela showed, and a level of pace to scorch the most fireproof of defences. “I told them it’s hard without the [number] 33,” said Jesus recently, explaining the shirt he hopes to take at City – but most things have come easily so far for <a href=""https://www.theguardian.com/football/2016/aug/03/gabriel-jesus-manchester-city-new-neymar-premier-league"" >the 19-year-old</a> and perhaps Brazil, who seem to be on the rise, really do have their next big star.","Nick Ames","125","√MC","RC","RC","NAm"
"65","69","4","Mohamed Salah","Forward","Roma","Italy","24","Egypt","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/02b0674c7ad19bb3a3ebb0c07e6a40855ec4ea49/1335_857_1090_1090","cropRatio=1090,1090&size=140,500,1000,1090","https://media.guim.co.uk/2320763669e1f1b5a53073dd097485ffcf797dce/0_3_3470_1951","cropRatio=3470,1951&size=140,500,1000,2000,3470","","Never really given a chance at Stamford Bridge, the Egypt forward has settled in well to life in the Italian capital and has followed up his return of 14 goals in Serie A last season with eight already this term. The former Basel player has also been in scintillating form for Egypt this year having scored five times in six appearances as the Pharaohs qualified for the Africa Cup of Nations for the first time since 2010, when they won the tournament for a third time in succession. He could be on the rise again next year if he can inspire them to another victory.","Ed Aarons","100","√SM","RC","RC","NAm"
"66","71","5","Giorgio Chiellini","Defender","Juventus","Italy","32","Italy","Italian, Serie A, Defenders","","","https://media.guim.co.uk/84eb30fd47232588bd2aa2efa4c317ced6fc53ac/1172_65_575_575","cropRatio=575,575&size=140,500,575","https://media.guim.co.uk/2af244b1900f3772becc290105bccf570ffa4a82/0_0_3588_2017","cropRatio=3588,2017&size=140,500,1000,2000,3588","","<a href=""https://www.theguardian.com/football/2016/jun/13/giorgio-chiellini-italy-euro-2016"" >Softly spoken, but thunderous in the challenge</a>, Chiellini relishes his role as the aggressor in Juventus's and Italy's first-choice back three. He scored the opening goal in <a href=""https://www.theguardian.com/football/2016/jun/27/italy-spain-euro-2016-match-report"" >the Azzurri's Euro 2016 win over Spain</a>, but it was not this memory that caused his former team-mate Álvaro Morata to celebrate news that the centre-back would be suspended for a rematch in World Cup qualifying this October. ""I want such good things for Giorgio, I am really fond of him,"" said the Spaniard. ""But I can honestly say that my ankles feel gratitude for him getting that red card in Israel.""","Paolo Bandini","100","√MC","NAm","NAm","TD"
"67","","New","Aritz Aduriz","Forward","Athletic Bilbao","Spain","35","Spain","Spanish, La Liga, Forwards","","","https://media.guim.co.uk/029d8b3be9c6b20d4ae398e4918d9f890592a3a8/2467_44_1653_1653","cropRatio=1653,1653&size=140,500,1000,1653","https://media.guim.co.uk/8ba13cde3e26acec2f49828deb7d43d5724b7fb1/8_149_3540_1990","cropRatio=3540,1990&size=140,500,1000,2000,3540","","The striker is now in his mid-30s but rather than slowing down <a href=""https://www.theguardian.com/football/blog/2016/mar/03/aritz-aduriz-better-age-athletic-bilbao"" >he is in the form of his life</a>. His goalscoring record for Athletic Bilbao over the past two-and-a-half seasons is phenomenal: he hit 26 in 2014-15, 36 in 2015-16 and started 2016-17 in a similar fashion. Against Genk in the Europa League in November he managed to score all of his side’s five goals in a 5-3 win. He returned to the Spain fold and made the Euro 2016 squad ahead of Diego Costa, and in November become the country’s oldest scorer. ","Marcus Christenson","100","√SM","RC","RC","NAm"
"68","100","32","Laurent Koscielny","Defender","Arsenal","England","31","France","French, Premier League, Defenders","","","https://media.guim.co.uk/abf1c948673a2f962a7d5ce0222bf41936f8b4ad/701_144_607_606","cropRatio=607,606&size=140,500,607","https://media.guim.co.uk/61aab0a287147668f8c3226b71c7d5ad8d9d10d0/46_132_3429_1928","cropRatio=3429,1928&size=140,500,1000,2000,3429","","He has developed into one of the Premier League's most reliable centre-backs and is essential to Arsenal's solidity, perhaps the club's most important player along with Alexis Sánchez and Mesut Özil. Strong in the air and the tackle, shrewd in his positioning and courageously committed, Koscielny has helped Shkodran Mustafi's integration into English football and the pair have formed a sturdy partnership. The Frenchman, who started all seven of his country's games at Euro 2016, is also a serious threat in opposing boxes, though his <a href=""https://www.theguardian.com/football/2016/sep/10/arsenal-southampton-premier-league-match-report"" >overhead kick goal against Southampton in September</a> was not exactly representative of his body of work.","Paul Doyle","100","√SM","NAm","NAm","TD"
"69","","New","Sadio Mané","Forward","Liverpool","England","24","Senegal","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/3ce500d62edad0d103afdc3d99e102293b4413cc/1005_0_812_812","cropRatio=812,812&size=140,500,812","https://media.guim.co.uk/dc133374f306c7d4498bd5f69b11cbe166a7ddc5/104_32_2196_1235","cropRatio=2196,1235&size=140,500,1000,2000,2196","","Jürgen Klopp’s mistake was ultimately Liverpool’s gain when they acquired Mané in a £34m deal this summer. Klopp believes the Senegal international would have cost much more had he arrived via Borussia Dortmund but he spurned the chance to sign the 24-year-old for his former club two years ago. <a href=""https://www.theguardian.com/football/2016/nov/18/jurgen-klopp-dortmund-sadio-mane-mistake-liverpool"" >""I could have punched myself,""</a> the manager admitted. “So I already knew that the next chance I have, I would take it.” Mané has settled seamlessly, his pace and unselfishness on the ball a feature of a well-balanced attack and justifying Liverpool's decision to switch their attention to Southampton when Mario Götze prevaricated over a move to Anfield.","Andy Hunter","100","√SM","RC","RC","NAm"
"70","55","-15","Miralem Pjanic","Midfielder","Juventus","Italy","26","Bosnia-Herzegovina","Other nationalities, Serie A, Midfielders","","","https://media.guim.co.uk/74bee49e8444271a44f0f01f7aafdb7bafca0de5/1344_21_901_901","cropRatio=901,901&size=140,500,901","https://media.guim.co.uk/15b610f8699e9ed85068edab766e2f003fde0df7/0_8_3595_2021","cropRatio=3595,2021&size=140,500,1000,2000,3595","","One of just two players to reach double figures for both goals and assists in Serie A last season, it is easy to see why <a href=""https://www.theguardian.com/football/2016/jun/14/miralem-pjanic-completes-32m-transfer-juventus-roma"" >Juventus were so eager to steal Pjanic away from Roma in the summer</a>. The Bosnian struggled initially to find his spot within his new team, but the finesse in his technique and his touch have never been in doubt. In open play Pjanic is more subtle than spectacular, but he strikes a dead-ball as well as anyone in the world – hardly surprising, given that he learned from the legendary Juninho Pernambucano at Lyon. ","Paolo Bandini","100","√MC","RC","RC","NAm"
"71","47","-24","Álvaro Morata","Forward","Real Madrid","Spain","24","Spain","Spanish, La Liga, Forwards","","","https://media.guim.co.uk/51567a09103bcd9835a06cf29c104c68f53e50b1/1341_122_804_804","cropRatio=804,804&size=140,500,804","https://media.guim.co.uk/a1dd196dc03d29715ee18b0a0011ac5d6bbe9c47/0_182_3426_1926","cropRatio=3426,1926&size=140,500,1000,2000,3426","","At his best, Morata can look like a complete centre-forward. One performance this year, in his final European game for Juventus, stands out – when he gave Bayern Munich’s defence a pasting for 72 minutes of their <a href=""https://www.theguardian.com/football/2016/mar/16/bayern-munich-juventus-champions-league-match-report"" >Champions League round-of-16 second leg at the Allianz Arena</a> before being replaced and watching his side collapse almost instantly. He came off the bench to score their winning goal in the Coppa Italia final against AC Milan two months later; despite not always being a guaranteed starter for Juventus he seemed a good option for his old club, Real Madrid, when they bought him back in June and he has contributed well enough so far. Morata also scored three times in Spain’s ill-fated Euro 2016 campaign.","Nick Ames","100","√MC","RC","RC","NAm"
"72","","New","Kasper Schmeichel","Goalkeeper","Leicester City","England","30","Denmark","Other nationalities, Premier League, Goalkeepers","","","https://media.guim.co.uk/a788f8b43fa706cf7daab8c7e159fed1d0b243d5/1483_76_815_815","cropRatio=815,815&size=140,500,815","https://media.guim.co.uk/4740e5f1e835298339e7fef8852ab4279a6a9532/4_159_2946_1656","cropRatio=2946,1656&size=140,500,1000,2000,2946","","Following in his legendary father’s footsteps, the Dane had a vital role in <a href=""https://www.theguardian.com/football/2016/may/03/leicester-city-title-inside-story-premier-league-champions-claudio-ranieri"" >Leicester City's title win</a>. Schmeichel always had potential as a youngster, but he did not seem destined for the very top when he was playing in the lower leagues. Yet he excelled after Leicester’s promotion to the Premier League in 2014 and came of age last season, a formidable presence behind Claudio Ranieri’s back four. His fine form has continued into this campaign – his wondrous late save <a href=""https://www.theguardian.com/football/2016/nov/02/fc-copenhagen-leicester-city-champions-league-match-report"" >against FC Copenhagen in the Champions League</a> took the breath away – and Leicester have missed him during his absence with a broken hand.","Jacob Steinberg","100","√SM","NAm","NAm","TD"
"73","","New","Aaron Ramsey","Midfielder","Arsenal","England","25","Wales","Other nationalities, Premier League, Midfielders","","","https://media.guim.co.uk/f0021284b3e3324920f97d898fd5e63e278f160f/1130_99_1361_1361","cropRatio=1361,1361&size=140,500,1000,1361","https://media.guim.co.uk/093413507f571bee5f4c4b18b3f17736c4b096ba/8_104_2789_1568","cropRatio=2789,1568&size=140,500,1000,2000,2789","","The Arsenal midfielder was determined to be noticed at Euro 2016, and he dyed his hair peroxide blonde. It was <a href=""https://www.theguardian.com/football/blog/2016/jul/01/aaron-ramsey-belgium-wales-euro-2016"" >his performances for Wales</a> that demanded the attention and the only disappointment was his suspension for the semi-final against Portugal. How Wales missed him. Ramsey was an easy choice for the Uefa Team of the Tournament and, by extension, this list, too. He has not always hit the heights for Arsenal, with injury and Arsène Wenger’s tendency to play him at right midfield, rather than in his favoured central role, holding him back. But he showed what he was capable of at the European Championship with his precision passing and outstanding movement.","David Hytner","100","√SM","RC","RC","NAm"
"74","","New","Raphaël Guerreiro","Defender","Borussia Dortmund","Germany","22","Portugal","Other nationalities, Bundesliga, Defenders","","","https://media.guim.co.uk/d95b8bf7d8585972bd85f5ebc296ba09579f38fe/1255_151_941_941","cropRatio=941,941&size=140,500,941","https://media.guim.co.uk/f05e4304bf409c040f31984bdc7706eaeb8b656e/244_0_3091_1738","cropRatio=3091,1738&size=140,500,1000,2000,3091","","“Raphaël Guerreiro is way too versatile to play just one position,” said the Borussia Dortmund manager, Thomas Tuchel, of his new signing from Lorient a month into the season. He had already seen the proof. Guerreiro had spent the summer standing out at left-back for Portugal, his speed and technical attributes marking him out without necessarily getting their fullest airing in a relatively conservative side. Tuchel has sought to make the most of Guerreiro’s gifts, fielding him in central and left-midfield roles as well as his more familiar position, and the 22-year-old has shown outstanding application in them all. He may not yet be the new Philipp Lahm, as one or two excitable commentaries have had it, but he has a fighting chance. ","Nick Ames","100","√MC","RC","RC","NAm"
"75","","New","Rui Patrício","Goalkeeper","Sporting Lisbon","Portugal","28","Portugal","Other nationalities, Other leagues, Goalkeepers","","","https://media.guim.co.uk/74d1b5a66467ac3b9ddd40859cbcdbb23465ecf8/1305_313_732_732","cropRatio=732,732&size=140,500,732","https://media.guim.co.uk/353bd8164edd4ddc61487ce798a3e2810eceed8f/105_0_1616_909","cropRatio=1616,909&size=140,500,1000,1616","","Now in his 10th campaign as Sporting Clube de Portugal’s first-choice goalkeeper, the 28-year-old has always been adored inside the Estádio José Alvalade. His performance <a href=""https://www.theguardian.com/football/2016/jun/25/croatia-portugal-euro-2016-match-report"" >for Portugal in the Euro 2016 final</a>, however, found him a whole new host of admirers around the world. Patrício was immaculate against France throughout in Saint-Denis; never under siege, but unfussy, tidy and decisive at the key moments. His distribution, which certainly separated him from the best goalkeepers in the world in past years, has also steadily improved as he has stayed with Sporting and helped his boyhood team to become competitive again.","Andy Brassell","100","√SM","RC","RC","NAm"
