"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2022","sheets.players.League","sheets.players.Age.on.20.Dec.2022","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"75","36","-39","Daniëlle van de Donk","Midfielder","Lyon","France","31","Netherlands","Dutch, D1 Arkema, Midfielders","","","https://media.guim.co.uk/7e5bcc6bb09fb6a6fba5dbcef5ede13c5dbfd4e4/2316_0_1778_1779/500.jpg","","https://media.guim.co.uk/402954981ed2484e372e33157e2e901cdb60f795/1438_250_2630_1577/500.jpg","","","Van de Donk's year began with an injury that ruled her out for four months, but she returned to play a role in her side winning the Champions League against Barcelona and was ready to represent her nation at Euro 2022. She quickly reminded everyone of her top level with a stunning goal against Portugal at a vital moment for the Netherlands, and remains an incredibly intelligent operator in the midfield for club and country. Van de Donk has started the new season in good form, finding the net three times for Lyon as she looks to get back to her best. Her injury and time out has seen her drop down the rankings this year, but when on the pitch has reminded our judges of her quality.","SG**","GS","day_4_marrow.jpg"
"76","18","-58","Christine Sinclair","Forward","Portland Thorns","USA","39","Canada","NWSL, Forwards, Canadian","","","https://media.guim.co.uk/2ba1d8873f5fe67522b367f07c710f0d86ca7387/866_32_974_974/500.jpg","","https://media.guim.co.uk/2dc8395c1085921a26f78521f7b07e4b7c56cc1c/0_63_3000_1801/500.jpg","","","Sinclair's level at 39 years of age remains high enough to maintain her spot in the list. Sinclair scored five goals in the regular NWSL season and played a huge role as the Thorns won back their NWSL Championship, while she remains a big part of Canada's plans heading towards the 2023 World Cup. The goals may understandbly be slowing down as she prepares to play on into her 40s next season, but Sinclair is maintaining an impressively high level as she approaches the twilight of her career.","GS","SG**","day_4_marrow.jpg"
"77","204","New entry","Kailen Sheridan","Goalkeeper","San Diego Wave","USA","27","Canada","NWSL, Goalkeepers, Canadian","","","https://media.guim.co.uk/cfc8e3c9ee4f952d105ef28145d71d221bbad0a1/872_84_1517_1517/500.jpg","","https://media.guim.co.uk/96cf06db22028d1a5b24e3723e258fdbb66133ea/0_11_5390_3234/500.jpg","","","Sheridan took home a superb individual award in 2022 and with it a spot in the top 100 for the first time. Joining new franchise San Diego Wave at the start of the year, she took her game to the next level, enjoying a superb run of form between the sticks and being named goalkeeper of the year in the NWSL as well as earning her a spot in the team of the season as a result. Her performances helped the Wave to an excellent debut season as they reached the NWSL playoffs, pushing eventual champions Portland Thorns all the way, as well as cementing her spot as the No 1 for Canada before next year's World Cup.","SG**","GS","day_4_marrow.jpg"
"78","70","-8","Lia Wälti","Midfielder","Arsenal","England","29","Switzerland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/5d155c213ba7662d3d384a07e6fb76eab5890f67/436_0_1889_1888/500.jpg","","https://media.guim.co.uk/572bf01b31efa9abc35bd54b1bb92fbcea380656/0_78_3500_2101/500.jpg","","","Like many defensive midfielders, it feels as though Wälti's performances often go unnoticed compared to attacking players. Wälti has been impressive so far this season as Arsenal have only lost once in nine WSL games. She plays a pivotal role for both club and Switzerland too, holding down the midfield. Wälti is certainly one of the best in the world in her position and is making her role look easier than ever.","GS","SG**","day_4_marrow.jpg"
"79","74","-5","Melvine Malard","Forward","Lyon","France","22","France","French, Other leagues, Goalkeepers","","","https://media.guim.co.uk/5e82308755504617036489e33281a50810aaef15/1465_16_933_933/500.jpg","","https://media.guim.co.uk/7b85c75b2c1f33543440f68d8c8eb6e96f2fab48/0_59_3000_1800/500.jpg","","","Malard is growing into a top striker but she also has had to balance opportunities given the strength in depth in attack at both domestic and international level. She scored 13 league goals for Lyon last season to end the campaign as the joint-third top scorer in France, while this season her most impressive performances have come in Europe, with four goals and four assists in the Champions League already, but only two in the league. For France, Marie-Antoinette Katoto's injury gifted her the chance to be the No 9 at Euro 2022 and she found the net against Iceland inside 60 seconds. An exciting and tricky young forward, Malard still has plenty to come but is starting to show it more regularly.","SG**","GS","day_4_marrow.jpg"
"80","159","New entry","Tabea Wassmuth","Forward","Wolfsburg","Germany","26","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/47baeed1adfbd723493c2f49e3ce23a1e86c3dbb/1333_111_1288_1288/500.jpg","","https://media.guim.co.uk/23b329b07e0ca1d8feb3ba98aac09d2944333eea/0_50_3122_1873/500.jpg","","","Wassmuth has been on fire in 2022. Only Alexia Putellas beat her tally of 10 goals in the Champions League last season, all the more impressive given it was her debut in Europe's premier club competition. Wassmuth has a natural eye for goal and, alongside her exploits in Europe, ended the Bundesliga season with an impressive 12 goals and seven assists for champions Wolfsburg. She's had to be more patient with Germany and played a secondary role at the Euros, but she's started the new season in good form and is quickly becoming one of Europe's most potent strikers.","GS","SG**","day_4_marrow.jpg"
"81","43","-38","Jess Fishlock","Midfielder","OL Reign","USA","35","Wales","Other nationalities, NWSL, Midfielders","","","https://media.guim.co.uk/7a517bd6b39321f4ef8d27ee5dd599e7f383ba55/966_138_2108_2108/500.jpg","","https://media.guim.co.uk/7d3b1ac059a7097147e01490202ec0c340eeffbd/498_76_1439_864/500.jpg","","","There continue to be few who can drive a team quite like Fishlock. She helped OL Reign to the NWSL regular season title and almost single-handedly dragged Wales to a first major tournament in the women's game. Her audacious volley deep into extra time against Bosnia-Herzegovina summed up the kind of player Fishlock is. At 35 she is showing few signs of slowing down but continues to be as important to club and country as ever.","SG**","GS","day_4_marrow.jpg"
"82","-","New entry","Kerolin","Forward","North Carolina Courage","USA","23","Brazil","NWSL, Forwards, Brazilian","","","https://media.guim.co.uk/b0cfdac46b714558ebd32d7d585341ab7c435d33/1068_248_1069_1069/500.jpg","","https://media.guim.co.uk/89a8e12ca19e5a9d653450461890e2f7fa0e5228/0_87_7390_4434/500.jpg","","","Kerolin came to the fore in her first full season in the NWSL, striking up a potent partnership with her fellow Brazilian Debinha at North Carolina Courage. With pace and trickery, the combination has proven difficult to deal with for even the best full-backs in the league and there's every argument to suggest Kerolin could and should have been in the MVP conversation. Her scoring record at international level is already impressive and she helped Brazil to the Copa América title, as well as racking up four assists in the NWSL. There is plenty more to come from the 23-year-old.","GS","SG**","day_4_marrow.jpg"
"83","129","New entry","Sarah Zadrazil  ","Midfielder","Bayern Munich","Germany","29","Austria","Other nationalities, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/062741067c835dcaad2345f8f793872f4c2f510b/779_109_1889_1889/500.jpg","","https://media.guim.co.uk/17a9822ae29200248ba12b7d6024ee865c48aeae/29_184_2869_1722/500.jpg","","","Zadrazil is another new face entering the top 100 for the first time. Playing slightly different roles for Bayern Munich and Austria, she has impressed for both in 2022. For Bayern, she has struck up an instant partnership with Georgia Stanway in midfield, and her talent enables her to control games and create chances for attacking teammates. For Austria at Euro 2022, Zadrazil showed her more all-action side, pressing and harrassing opposition midfielders as Austria enjoyed a solid run to the quarter-finals. One of the most underrated midfielders around.","SG**","GS","day_4_marrow.jpg"
"84","-","New entry","Rafaelle  ","Defender","Arsenal","England","31","Brazil","WSL, Defenders, Brazilian","","","https://media.guim.co.uk/23d389c379259bcf53b71fd50db344cc63a00cda/1095_97_834_834/500.jpg","","https://media.guim.co.uk/3edd18f374bf49b50f5f21ca0aab0d537e589b6b/941_154_3065_1839/500.jpg","","","Rafaelle is another player making the top 100 for the first time just after hitting her 30s. She had a fantastic year at club and international level. After a five-year stint in China, Rafaelle joined Arsenal in January and made an instant impact at the heart of the team's defence, striking up a partnership with Leah Williamson. And just as Williamson captained her nation to a major tournament in the summer, so did Rafaelle, as Brazil lifted the Copa América with the defender leading the team and wearing the captain's armband. With a no-nonsense approach at the back, Rafaelle has been a revelation in England.","GS","SG**","day_4_marrow.jpg"
"85","22","-63","Ji So-yun","Midfielder","Suwon","South Korea","31","South Korea","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/63b3fbc033df48041de7091c08160c546d65f1b1/653_461_1299_1300/500.jpg","","https://media.guim.co.uk/32f0853303435c8d97f7174f5dd5f516bc6445b2/0_99_3000_1800/500.jpg","","","Ji departed after eight glorious years at Chelsea with another league title and FA Cup triumph. In truth, her superb five-goal haul at the Asia Cup in February, as South Korea finished runners up, gave a feeling she had plenty more to give in Europe, shown in glimpses after often being used off the bench by Emma Hayes last season. However, she chose to return home with Suwon, where the 31-year-old is continuing to show her talent in front of her own supporters. Now an icon of women's football in Asia, Ji continues to perform at a very high level.","SG**","GS","day_4_marrow.jpg"
"86","326","New entry","Pauline Peyraud-Magnin  ","Goalkeeper","Juventus","Italy","30","France","French, Other leagues, Goalkeepers","","","https://media.guim.co.uk/e0407738e791f348d4519449538ce51177588afd/2630_80_1644_1644/500.jpg","","https://media.guim.co.uk/be492b07e5a568159114c52c965d4271a2a43109/0_112_4123_2475/500.jpg","","","Most of those who break into our top 100 are younger players with their whole careers ahead of them, but Peyraud-Magnin is maturing into a top goalkeeper. She has found a home at Juventus and with it her best form, which led to her becoming the France No 1 in the buildup for the summer's European Championship, where she impressed. At 30, it's taken Peyraud-Magnin some time to reach her full potential, but she has developed into a fine goalkeeper and comes in at 86th after last year falling outside the top 300.","GS","SG**","day_4_marrow.jpg"
"87","100","13","Chloe Kelly","Forward","Manchester City","England","24","England","English, WSL, Forwards","","","https://media.guim.co.uk/7ff5089a148022e7988b6cb68acc29866436933e/746_0_3027_3029/500.jpg","","https://media.guim.co.uk/52152c4cb10f8f56184cab5bf7449fa927a270e7/348_53_1751_1050/500.jpg","","","It's unfair to narrow any player's year down to one moment, but for one who struggled so much with injury in the first half of it the image of Kelly running around whipping her shirt above her head after scoring the winning goal in the biggest game of the year is one many will never forget, especially in England. It was not the prettiest goal she will ever score, but it will likely be the biggest, the goal that created history for the Lionesses and women's football in England. Now recovered from injury, she's seeing her form come back for Manchester City too after saying she struggled somewhat after the high of the Euros.","SG**","GS","day_4_marrow.jpg"
"88","-","New entry","Mia Fishel","Forward","Tigres UANL","Mexico","21","USA","American, Other leagues, Forwards","","","https://media.guim.co.uk/24230801251e254e6f1b55ecba63f64f3ec38dff/512_20_782_783/500.jpg","","https://media.guim.co.uk/b4d96cd8b68b7e11919e8d6747f41ed013747943/1039_234_2803_1682/500.jpg","","","Fishel is another who announced herself to the world in 2022 at the age of 21. Drafted by Orlando Pride after a great college career with UCLA, Fishel decided to cross south of the border to play for Tigres in Mexico, and it is fair to say it has proved a smart move. The striker was top scorer in the league with 17 goals which led to cries for a call-up for the USA team, though such inclusion has remained elusive. Her ability to find the net has gained a host of admirers and Fishel looks like she will get better, with a senior USA squad place only a matter of time should the level of her performances continue to grow at the same rate as her talent.","GS","SG**","day_4_marrow.jpg"
"89","305","New entry","Hina Sugita","Midfielder","Portland Thorns","USA","25","Japan","Other nationalities, NWSL, Midfielders","","","https://media.guim.co.uk/2cf3a34a7eadc0f0f3b555a5a9bbfedbfc4ffde7/1611_0_1713_1714/500.jpg","","https://media.guim.co.uk/a3c9eddc237d0763feb101751b783c3f758aaf18/795_28_2573_1544/500.jpg","","","One of the best signings in the NWSL this season, Sugita was so important in the success of the Portland Thorns in 2022. The 25-year-old ended the regular season with five goals and four assists from midfield, consistently contributing to the attacking talent within the Thorns side. Her close control and ability to play defence-splitting passes are typical of the Japanese style of play and now she's firmly on the radar, it's going to be exciting to see just how much Sugita develops in one of the world's top leagues.","SG**","GS","day_4_marrow.jpg"
"90","63","-27","Esther González","Forward","Real Madrid","Spain","30","Spain","Spanish, Liga F, Forwards","","","https://media.guim.co.uk/5454f457fd18abfed729caedd85efa1f5f2f2036/1373_26_2220_2221/500.jpg","","https://media.guim.co.uk/c3f3a84ca022a9a78c2c077311cd74519ff617f5/0_99_3500_2100/500.jpg","","","Another solid year for one of Spain's most consistent goalscorers. While Real Madrid have not been firing on all cylinders in 2022, González remains their main source of goals, ending last season's domestic campaign with 14 of them. She came closest to knocking out England with her composed opener for Spain in the Euro 2022 quarter-final and the striker has continued her good form into the new season, scoring seven league goals. She remains one of Spain's most instinctive strikers.","GS","SG**","day_4_marrow.jpg"
"91","-","New entry","Athenea del Castillo","Forward","Real Madrid","Spain","22","Spain","Spanish, Liga F, Forwards","","","https://media.guim.co.uk/edc4b756d2f0bf90f3eef96071807cb6c74be4b8/733_0_3920_3920/500.jpg","","https://media.guim.co.uk/523e12d47954631944a30326c8d417984f395f7b/1092_198_1927_1156/500.jpg","","","Del Castillo's fledgling talent was well known within Spain and especially Real Madrid, but the 22-year-old announced herself to the rest of Europe with eye-catching performances at the Arnold Clark Cup when she was a late call-up for Spain. With quick feet and direct play, she is almost a throwback to an old-fashioned winger, someone who can beat her marker all ends up with skill and pace, and few players caused eventual champions England as many problems as Del Castillo during Euro 2022. ","SG**","GS","day_4_marrow.jpg"
"92","41","-51","Saki Kumagai  ","Midfielder","Bayern Munich","Germany","32","Japan","Other nationalities, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/1aa6dc3f9b10500633048bb51ebeae8f7af3d439/523_6_1571_1571/500.jpg","","https://media.guim.co.uk/0cf3122ccc2ee4bc04910a439bb504165f56de60/0_166_4142_2486/500.jpg","","","Kumagai drops out of the top 50 and down towards the bottom end of the top 100, but the Japanese legend continues to be superb to watch thanks to the ease with which she can control games. She remains pivotal for her country and while Kumagai still features regularly for Bayern Munich, she has not always been a consistent starter this season. Not a bad player to have on your bench though and in midfield shei remains capable of chipping in with the odd goal and an assist for her team. Always a classy operator.","GS","SG**","day_4_marrow.jpg"
"93","84","-9","Becky Sauerbrunn  ","Defender","Portland Thorns","USA","37","USA","American, NWSL, Defenders","","","https://media.guim.co.uk/f38b38378c7d903570be6f03243b3ab89d7acfac/447_235_1406_1406/500.jpg","","https://media.guim.co.uk/de6c5213d15ab657197c9a3b76239498aacb779e/678_184_3462_2078/500.jpg","","","Sauerbrunn continues to be at the top of her game and not only that but this year returned to the top of the club game as she played an influential role in winning the NWSL Championship with Portland Thorns. With it came a nomination for defender of the year, while at 37 she maintains her spot in the USA defence, despite the progress of Alana Cook and emergence of Naomi Girma. Sauerbrunn has a habit of being able to make games look easy without getting out of first gear and we should cherish her talent while we can.","SG**","GS","day_4_marrow.jpg"
"94","81","-13","Marina Hegering","Defender","Wolfsburg","Germany","32","Germany","German, Frauen-Bundesliga, Defenders","","","https://media.guim.co.uk/461db6ef556596949a6a621ae59596f6cfb31bbe/1712_74_819_819/500.jpg","","https://media.guim.co.uk/833456d0b7ebba87ec51d468b48b50815d85e44c/0_102_5000_3002/500.jpg","","","If this year's rankings were based solely off major tournaments, Hegering would not have only been much higher than her ranking of 94, but likely higher than last year too, such was the level of performance at the heart of the Germany defence at the Euros. Her dominance earned her a spot in team of the tournament at centre-back, but before and after her year was ravaged by injuries. She swapped Bayern Munich for Wolfsburg in the summer but did not make her debut for her new club until last month, though did score twice on her first appearance. There is no doubt she would rank as one of the best if she had been fit for more of the year.","GS","SG**","day_4_marrow.jpg"
"95","-","New entry","Daphne van Domselaar  ","Goalkeeper","Twente","Netherlands","22","Netherlands","Dutch, Other leagues, Goalkeepers","","","https://media.guim.co.uk/7adb9499818f7fdf5c235779c06e55e9d1758e66/1001_73_844_844/500.jpg","","https://media.guim.co.uk/fd0153bb060455da6f05b20871de2340f2b53507/0_0_3425_2055/500.jpg","","","The new Netherlands No 1 was one of the stories of 2022. A peripheral unknown to many heading into the Euros, Van Domselaar was practically a newcomer when Sari van Veenendaal's injury early in the first game ended her tournament. But the youngster came in and looked like a seasoned pro, making several top saves and kept her spot in the team. She was most impressive against France in the quarter-finals, where despite defeat she kept her side in it with a string of impressive saves and announced herself to the world, and to the attention of our judges, throughout the course of the tournament.","SG**","GS","day_4_marrow.jpg"
"96","69","-27","Linda Dallmann","Midfielder","Bayern Munich","Germany","28","Germany","German, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/436fdb28216cfd431890ddf82d2f01e6202ec190/1798_5_1449_1449/500.jpg","","https://media.guim.co.uk/6cca062187d3c04778ace8ac08faf664f68c35cb/0_194_4275_2565/500.jpg","","","Dallmann drops to the edge of the 100 in 2022 but that says more about the rise of others around the world than it does about Dallmann herself. Her importance at club level has just been highlighted by a new long-term contract through to 2026 and she has started the season in great form. Already hitting five goals for Bayern, Dallmann is already close to her tally of seven from the whole of last season, and has grown alongside new signing Georgia Stanway. There is no doubt the midfielder has raised her game to another level early in this campaign.","GS","SG**","day_4_marrow.jpg"
"97","85","-12","Barbara Bonansea","Forward","Juventus","Italy","31","Italy","Other nationalities, Other leagues, Forwards","","","https://media.guim.co.uk/5c4b3934396d7002ffdf7de31b7c685e83c21369/574_23_974_974/500.jpg","","https://media.guim.co.uk/e449f1a303ff23317104d9396178202c709c84a4/110_149_3279_1968/500.jpg","","","Bonansea drops a little in 2022 but her talent and importance to both Juventus and Italy remains the same. She was as disappointed as anyone with Italy's performance at Euro 2022, where they exited at the group stage, but continues to pop up at big moments as any leader does when called upon, as she showed lately with her goal for Juve against rivals Internazionale. Bonansea ended last season with seven goals and three assists in the league and has three goals so far this season as Juve look to continue their stranglehold on Italy's domestic scene.","SG**","GS","day_4_marrow.jpg"
"98","131","New entry","Jule Brand","Forward","Wolfsburg","Germany","20","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/d2ab669d4c0254f6a9371a4387fb9b90bcf78d22/279_93_1312_1312/500.jpg","","https://media.guim.co.uk/a0bbb52132838498ce8845f75a40dca13c6dc0ea/1699_25_1844_1107/500.jpg","","","Like Melchie Dumornay, Brand is another who can easily be labelled as one of the most exciting young players anywhere in the world right now, tying the Haitian midfielder for points from our judges. With natural skill in abundance, Brand's performances for Hoffenheim earned her a big move to Wolfsburg over the summer, while simultaneously showcasing her talent in glimpses on the big stage at the Euros. Having turned 20 in October, Brand was the first player to win Tuttosport's Golden Girl award this year, and like others her ceiling appears to be as high as she wants it to be.","GS","SG**","day_4_marrow.jpg"
"99","-","New entry","Melchie Dumornay","Forward","Stade de Reims","France","19","Haiti","Other nationalities, D1 Arkema, Forwards","","","https://media.guim.co.uk/a185962dc76de5bf7ecb4ca487a9adee70cab0d1/1500_51_910_910/500.jpg","","https://media.guim.co.uk/129d68d33e0d11904b8971d5ae6dee9fb9ed4675/13_350_3078_1848/500.jpg","","","The teenager is one of the most exciting young players in the world right now with performances that are living up to the hype. Though not representing one of France's top teams or one of the top nations in the world, she is still providing the goods, earning a young player of the season nomination in France last season for Reims, while her performances for Haiti at the Concacaf Championship earned her player of the tournament outright. A natural ability to break forward and both score and create goals, Dumornay's ceiling is sky high and with it she becomes the first Haitian player to make our top 100.","SG**","GS","day_4_marrow.jpg"
"100","315","New entry","Kathrin Hendrich","Defender","Wolfsburg","Germany","30","Germany","German, Frauen-Bundesliga, Defenders","","","https://media.guim.co.uk/90b4749d9ca89cde53e6243d4e07771fb7bf0c6f/472_25_1438_1438/500.jpg","","https://media.guim.co.uk/638cf657d9c6f37847effa1ddf89377f7b23f359/0_130_2995_1798/500.jpg","","","Hendrich has been ever present at the back for both Wolfsburg and Germany in 2022. She barely missed a minute of league action last season and has not missed a single one so far this term too. An experienced head with an abundance of defensive qualities, Hendrich was in great form for Germany, particularly during their run to the Euro 2022 final. Very few showed the heart and desire Hendrich had during the tournament and she played a huge role in her team's success at both domestic and international level throughout this year – with that, she sneaks into the 100 for the first time.","GS","SG**","day_4_marrow.jpg"
